datetime,regime_state_a
2024-02-05 00:00:00,0
2024-02-05 00:01:00,0
2024-02-05 00:03:00,0
2024-02-05 00:04:00,0
2024-02-05 00:30:00,0
2024-02-05 00:31:00,0
2024-02-05 00:36:00,0
2024-02-05 00:37:00,0
2024-02-05 00:41:00,0
2024-02-05 00:42:00,0
2024-02-05 00:43:00,0
2024-02-05 00:51:00,0
2024-02-05 00:52:00,0
2024-02-05 00:54:00,0
2024-02-05 01:05:00,0
2024-02-05 01:12:00,0
2024-02-05 01:14:00,0
2024-02-05 01:21:00,0
2024-02-05 01:24:00,0
2024-02-05 01:25:00,0
2024-02-05 01:26:00,0
2024-02-05 01:34:00,0
2024-02-05 01:35:00,0
2024-02-05 01:36:00,0
2024-02-05 01:40:00,0
2024-02-05 01:44:00,0
2024-02-05 01:45:00,0
2024-02-05 01:47:00,0
2024-02-05 01:51:00,0
2024-02-05 01:52:00,0
2024-02-05 01:53:00,0
2024-02-05 01:54:00,0
2024-02-05 01:55:00,0
2024-02-05 02:01:00,0
2024-02-05 02:02:00,0
2024-02-05 02:05:00,0
2024-02-05 02:06:00,0
2024-02-05 02:07:00,0
2024-02-05 02:08:00,0
2024-02-05 02:09:00,0
2024-02-05 02:10:00,0
2024-02-05 02:11:00,0
2024-02-05 02:15:00,0
2024-02-05 02:16:00,0
2024-02-05 02:19:00,0
2024-02-05 02:20:00,0
2024-02-05 02:21:00,0
2024-02-05 02:22:00,0
2024-02-05 02:23:00,0
2024-02-05 02:27:00,0
2024-02-05 02:28:00,0
2024-02-05 02:31:00,0
2024-02-05 02:35:00,0
2024-02-05 02:40:00,0
2024-02-05 02:43:00,0
2024-02-05 02:46:00,0
2024-02-05 02:47:00,0
2024-02-05 02:48:00,0
2024-02-05 02:49:00,0
2024-02-05 02:58:00,0
2024-02-05 03:02:00,0
2024-02-05 03:03:00,-1
2024-02-05 03:04:00,-1
2024-02-05 03:05:00,0
2024-02-05 03:06:00,-1
2024-02-05 03:07:00,-1
2024-02-05 03:08:00,-1
2024-02-05 03:09:00,-1
2024-02-05 03:14:00,-1
2024-02-05 03:15:00,-1
2024-02-05 03:16:00,-1
2024-02-05 03:20:00,-1
2024-02-05 03:21:00,-1
2024-02-05 03:22:00,-1
2024-02-05 03:26:00,-1
2024-02-05 03:30:00,-1
2024-02-05 03:31:00,-1
2024-02-05 03:36:00,-1
2024-02-05 03:40:00,-1
2024-02-05 03:51:00,-1
2024-02-05 03:56:00,-1
2024-02-05 03:57:00,-1
2024-02-05 04:08:00,0
2024-02-05 04:16:00,0
2024-02-05 04:29:00,-1
2024-02-05 04:50:00,-1
2024-02-05 04:51:00,0
2024-02-05 04:58:00,1
2024-02-05 05:30:00,1
2024-02-05 05:47:00,1
2024-02-05 05:49:00,1
2024-02-05 05:59:00,1
2024-02-05 06:08:00,1
2024-02-05 06:10:00,1
2024-02-05 06:15:00,1
2024-02-05 06:16:00,1
2024-02-05 06:19:00,0
2024-02-05 06:20:00,-1
2024-02-05 06:21:00,-1
2024-02-05 06:22:00,-1
2024-02-05 06:26:00,-1
2024-02-05 06:28:00,-1
2024-02-05 06:32:00,-1
2024-02-05 06:34:00,-1
2024-02-05 06:39:00,-1
2024-02-05 06:42:00,-1
2024-02-05 06:44:00,-1
2024-02-05 06:45:00,-1
2024-02-05 06:48:00,-1
2024-02-05 07:01:00,-1
2024-02-05 07:02:00,-1
2024-02-05 07:10:00,-1
2024-02-05 07:11:00,-1
2024-02-05 07:13:00,-1
2024-02-05 07:14:00,-1
2024-02-05 07:16:00,-1
2024-02-05 07:20:00,-1
2024-02-05 07:30:00,-1
2024-02-05 07:34:00,-1
2024-02-05 07:42:00,-1
2024-02-05 07:43:00,-1
2024-02-05 07:51:00,-1
2024-02-05 07:52:00,-1
2024-02-05 07:53:00,-1
2024-02-05 07:54:00,-1
2024-02-05 07:57:00,-1
2024-02-05 07:58:00,-1
2024-02-05 07:59:00,-1
2024-02-05 08:00:00,-1
2024-02-05 08:01:00,-1
2024-02-05 08:02:00,-1
2024-02-05 08:03:00,-1
2024-02-05 08:04:00,-1
2024-02-05 08:06:00,-1
2024-02-05 08:07:00,-1
2024-02-05 08:11:00,-1
2024-02-05 08:13:00,-1
2024-02-05 08:14:00,-1
2024-02-05 08:16:00,-1
2024-02-05 08:18:00,-1
2024-02-05 08:27:00,-1
2024-02-05 08:28:00,-1
2024-02-05 08:29:00,-1
2024-02-05 08:30:00,-1
2024-02-05 08:31:00,-1
2024-02-05 08:32:00,-1
2024-02-05 08:33:00,-1
2024-02-05 08:38:00,-1
2024-02-05 08:39:00,-1
2024-02-05 08:42:00,-1
2024-02-05 08:43:00,-1
2024-02-05 08:46:00,-1
2024-02-05 08:47:00,-1
2024-02-05 08:48:00,-1
2024-02-05 08:49:00,-1
2024-02-05 08:52:00,-1
2024-02-05 09:01:00,-1
2024-02-05 09:02:00,-1
2024-02-05 09:03:00,-1
2024-02-05 09:04:00,-1
2024-02-05 09:05:00,-1
2024-02-05 09:06:00,-1
2024-02-05 09:07:00,-1
2024-02-05 09:08:00,-1
2024-02-05 09:09:00,-1
2024-02-05 09:10:00,-1
2024-02-05 09:11:00,-1
2024-02-05 09:12:00,-1
2024-02-05 09:13:00,-1
2024-02-05 09:14:00,-1
2024-02-05 09:15:00,-1
2024-02-05 09:16:00,-1
2024-02-05 09:17:00,-1
2024-02-05 09:19:00,-1
2024-02-05 09:20:00,-1
2024-02-05 09:21:00,-1
2024-02-05 09:22:00,-1
2024-02-05 09:23:00,-1
2024-02-05 09:24:00,-1
2024-02-05 09:25:00,-1
2024-02-05 09:26:00,-1
2024-02-05 09:27:00,-1
2024-02-05 09:28:00,-1
2024-02-05 09:29:00,-1
2024-02-05 09:31:00,-1
2024-02-05 09:32:00,-1
2024-02-05 09:39:00,-1
2024-02-05 09:40:00,-1
2024-02-05 09:41:00,-1
2024-02-05 09:50:00,-1
2024-02-05 09:51:00,-1
2024-02-05 09:52:00,-1
2024-02-05 09:53:00,-1
2024-02-05 09:54:00,-1
2024-02-05 09:56:00,-1
2024-02-05 09:57:00,-1
2024-02-05 10:08:00,-1
2024-02-05 10:09:00,-1
2024-02-05 10:19:00,-1
2024-02-05 10:20:00,-1
2024-02-05 10:27:00,-1
2024-02-05 10:31:00,-1
2024-02-05 10:32:00,0
2024-02-05 10:34:00,-1
2024-02-05 10:38:00,-1
2024-02-05 10:39:00,-1
2024-02-05 10:41:00,-1
2024-02-05 10:52:00,-1
2024-02-05 11:08:00,-1
2024-02-05 11:10:00,-1
2024-02-05 11:16:00,-1
2024-02-05 11:17:00,-1
2024-02-05 11:22:00,-1
2024-02-05 11:23:00,-1
2024-02-05 11:29:00,-1
2024-02-05 11:30:00,-1
2024-02-05 11:35:00,-1
2024-02-05 11:37:00,-1
2024-02-05 11:38:00,-1
2024-02-05 11:44:00,-1
2024-02-05 11:45:00,-1
2024-02-05 11:46:00,-1
2024-02-05 11:48:00,-1
2024-02-05 11:49:00,-1
2024-02-05 11:52:00,-1
2024-02-05 11:54:00,-1
2024-02-05 12:01:00,-1
2024-02-05 12:05:00,-1
2024-02-05 12:06:00,-1
2024-02-05 12:10:00,-1
2024-02-05 12:11:00,-1
2024-02-05 12:12:00,-1
2024-02-05 12:30:00,-1
2024-02-05 12:34:00,-1
2024-02-05 12:35:00,0
2024-02-05 12:36:00,0
2024-02-05 12:53:00,0
2024-02-05 12:54:00,0
2024-02-05 12:56:00,0
2024-02-05 13:20:00,1
2024-02-05 13:34:00,1
2024-02-05 13:35:00,1
2024-02-05 13:37:00,1
2024-02-05 13:38:00,1
2024-02-05 13:44:00,1
2024-02-05 13:53:00,1
2024-02-05 13:55:00,1
2024-02-05 14:05:00,1
2024-02-05 14:06:00,1
2024-02-05 14:11:00,1
2024-02-05 14:16:00,1
2024-02-05 14:19:00,1
2024-02-05 14:58:00,1
2024-02-05 15:00:00,1
2024-02-05 15:01:00,1
2024-02-05 15:31:00,0
2024-02-05 15:32:00,1
2024-02-05 15:57:00,1
2024-02-06 00:00:00,1
2024-02-06 00:01:00,0
2024-02-06 00:19:00,0
2024-02-06 00:20:00,-1
2024-02-06 00:44:00,-1
2024-02-06 00:46:00,1
2024-02-06 00:52:00,1
2024-02-06 01:10:00,0
2024-02-06 01:18:00,0
2024-02-06 01:19:00,0
2024-02-06 01:21:00,-1
2024-02-06 01:22:00,-1
2024-02-06 01:25:00,0
2024-02-06 01:27:00,1
2024-02-06 01:34:00,1
2024-02-06 01:35:00,1
2024-02-06 01:45:00,1
2024-02-06 01:47:00,1
2024-02-06 01:50:00,1
2024-02-06 01:55:00,1
2024-02-06 01:56:00,1
2024-02-06 02:07:00,1
2024-02-06 02:09:00,1
2024-02-06 02:13:00,1
2024-02-06 02:18:00,1
2024-02-06 02:42:00,1
2024-02-06 02:43:00,1
2024-02-06 02:49:00,1
2024-02-06 02:50:00,1
2024-02-06 02:56:00,1
2024-02-06 02:58:00,1
2024-02-06 02:59:00,1
2024-02-06 03:01:00,1
2024-02-06 03:18:00,1
2024-02-06 03:31:00,1
2024-02-06 03:47:00,1
2024-02-06 04:00:00,1
2024-02-06 04:01:00,1
2024-02-06 04:22:00,1
2024-02-06 04:27:00,1
2024-02-06 04:28:00,1
2024-02-06 04:32:00,1
2024-02-06 04:57:00,1
2024-02-06 05:16:00,1
2024-02-06 06:18:00,1
2024-02-06 06:29:00,1
2024-02-06 06:30:00,1
2024-02-06 06:37:00,1
2024-02-06 06:38:00,1
2024-02-06 06:39:00,1
2024-02-06 06:40:00,1
2024-02-06 06:41:00,1
2024-02-06 06:44:00,1
2024-02-06 06:45:00,1
2024-02-06 06:47:00,1
2024-02-06 06:48:00,1
2024-02-06 06:55:00,1
2024-02-06 06:59:00,1
2024-02-06 07:06:00,1
2024-02-06 07:07:00,1
2024-02-06 07:10:00,1
2024-02-06 07:11:00,1
2024-02-06 07:12:00,1
2024-02-06 07:14:00,1
2024-02-06 07:15:00,1
2024-02-06 07:21:00,-1
2024-02-06 07:22:00,-1
2024-02-06 07:24:00,-1
2024-02-06 07:25:00,-1
2024-02-06 07:26:00,-1
2024-02-06 07:27:00,-1
2024-02-06 07:28:00,-1
2024-02-06 07:29:00,-1
2024-02-06 07:30:00,-1
2024-02-06 07:32:00,-1
2024-02-06 07:33:00,-1
2024-02-06 07:34:00,-1
2024-02-06 07:36:00,-1
2024-02-06 07:40:00,-1
2024-02-06 07:41:00,-1
2024-02-06 07:44:00,-1
2024-02-06 07:45:00,-1
2024-02-06 07:47:00,-1
2024-02-06 07:49:00,-1
2024-02-06 07:54:00,-1
2024-02-06 08:05:00,-1
2024-02-06 08:07:00,-1
2024-02-06 08:09:00,-1
2024-02-06 08:11:00,-1
2024-02-06 08:12:00,-1
2024-02-06 08:14:00,-1
2024-02-06 08:21:00,-1
2024-02-06 08:25:00,-1
2024-02-06 08:26:00,-1
2024-02-06 08:27:00,-1
2024-02-06 08:28:00,-1
2024-02-06 08:29:00,-1
2024-02-06 08:37:00,-1
2024-02-06 08:43:00,-1
2024-02-06 08:57:00,-1
2024-02-06 09:05:00,-1
2024-02-06 09:08:00,-1
2024-02-06 09:09:00,-1
2024-02-06 09:10:00,-1
2024-02-06 09:11:00,-1
2024-02-06 09:12:00,-1
2024-02-06 09:13:00,-1
2024-02-06 09:14:00,-1
2024-02-06 09:15:00,-1
2024-02-06 09:16:00,-1
2024-02-06 09:17:00,-1
2024-02-06 09:19:00,-1
2024-02-06 09:20:00,-1
2024-02-06 09:21:00,-1
2024-02-06 09:22:00,-1
2024-02-06 09:23:00,-1
2024-02-06 09:24:00,-1
2024-02-06 09:25:00,-1
2024-02-06 09:26:00,-1
2024-02-06 09:27:00,-1
2024-02-06 09:29:00,-1
2024-02-06 09:30:00,-1
2024-02-06 09:32:00,-1
2024-02-06 09:33:00,0
2024-02-06 09:37:00,0
2024-02-06 09:38:00,1
2024-02-06 09:39:00,1
2024-02-06 09:43:00,1
2024-02-06 09:44:00,1
2024-02-06 09:45:00,1
2024-02-06 09:47:00,1
2024-02-06 09:48:00,1
2024-02-06 09:49:00,1
2024-02-06 09:50:00,1
2024-02-06 09:51:00,1
2024-02-06 09:53:00,1
2024-02-06 09:54:00,1
2024-02-06 09:55:00,1
2024-02-06 09:56:00,1
2024-02-06 09:58:00,1
2024-02-06 09:59:00,1
2024-02-06 10:00:00,1
2024-02-06 10:01:00,1
2024-02-06 10:02:00,1
2024-02-06 10:03:00,1
2024-02-06 10:04:00,1
2024-02-06 10:05:00,1
2024-02-06 10:07:00,1
2024-02-06 10:09:00,1
2024-02-06 10:10:00,1
2024-02-06 10:11:00,1
2024-02-06 10:12:00,1
2024-02-06 10:13:00,0
2024-02-06 10:14:00,0
2024-02-06 10:17:00,0
2024-02-06 10:18:00,0
2024-02-06 10:25:00,-1
2024-02-06 10:29:00,-1
2024-02-06 10:36:00,-1
2024-02-06 10:42:00,-1
2024-02-06 10:43:00,0
2024-02-06 10:44:00,1
2024-02-06 10:47:00,0
2024-02-06 10:48:00,1
2024-02-06 10:53:00,0
2024-02-06 10:54:00,0
2024-02-06 11:00:00,-1
2024-02-06 11:05:00,-1
2024-02-06 11:12:00,-1
2024-02-06 11:15:00,-1
2024-02-06 11:22:00,0
2024-02-06 11:25:00,0
2024-02-06 11:30:00,1
2024-02-06 11:44:00,1
2024-02-06 11:45:00,1
2024-02-06 11:46:00,1
2024-02-06 11:47:00,1
2024-02-06 11:48:00,1
2024-02-06 11:49:00,1
2024-02-06 11:50:00,1
2024-02-06 11:52:00,1
